queue_depth,benchmark,mode,cycles,passed,note
2,linpack-pipelined,vector,1172,True,ok
2,vvadd,vector,242,True,ok
2,saxpy,vector,112,True,ok
2,daxpy,vector,274,True,ok
2,linpack,vector,1296,True,ok
4,linpack-pipelined,vector,1172,True,ok
4,vvadd,vector,242,True,ok
4,saxpy,vector,112,True,ok
4,daxpy,vector,274,True,ok
4,linpack,vector,1296,True,ok
8,linpack-pipelined,vector,1172,True,ok
8,vvadd,vector,242,True,ok
8,saxpy,vector,112,True,ok
8,daxpy,vector,274,True,ok
8,linpack,vector,1296,True,ok
16,linpack-pipelined,vector,1172,True,ok
16,vvadd,vector,242,True,ok
16,saxpy,vector,112,True,ok
16,daxpy,vector,274,True,ok
16,linpack,vector,1296,True,ok
